tic,status,period_grid_searched,sectors,points,discovery_points,holdout_points,tmag,distance_pc,source_sha256
444415612,screened,True,4,12068,5529,6539,13.94,40.05,bb8af874425d40e14a1c589c76459f03003d4988016e8faa0523e8c9e037a75e
444830499,screened,True,4,12137,5347,6790,11.39,23.4,f93ab3a1404dd62ca455908c67c5fa4c4ca794778ff51493751421d96bbf3e5d
445018193,screened,True,3,9058,3505,5553,13.9,24.25,e8c3558d3eea9a13ce958e4e8537f794a526e305ef9a7ef491e2967c259ff997
445064836,screened,True,3,9176,3494,5682,11.58,9.49,e92881d9c37ebb43012ab0555dd43c26f6a9370a8c2eff7046dc4e543387b9fb
445285461,screened,True,3,9034,5464,3570,13.07,37.25,456ed5454c106de91b5841ba5442fa225785ed2f7a334b50067ec4c476f052e7
445367562,screened,True,2,5487,5487,0,13.83,37.38,a4e5118cc492f8270a9c47b2425423ee55f29e4c8d57592d6cea79bebad53982
445835414,screened,True,7,22146,7077,15069,11.66,25.2,b6af276af305571ab1ca132aac7e04e39e4e7ef27d9c806db4e688cea702bd09
445863003,screened,True,6,16928,6052,10876,13.26,23.85,4f62023478f3b796a3fd86f61ba4de1653f4e7874bcc3166fae6761c849c5ccd
445863676,screened,True,2,4738,2754,1984,13.76,29.85,a54d4c79c802bd6611c18d4d89a8c72ced6f97adc8cfd645d6fa851d63331c48
446157830,screened,True,11,33704,6761,26943,13.68,40.26,f0b120a6819ad1a35b69fb3d3a470411af9409b59c998c6605b44eefde6e65b7
44646061,screened,True,3,9478,6246,3232,13.43,35.86,ee7709aa7af1f772e9c43b8fdc13735f88e10255f79792776ca02c6aec17cbbb
44647136,screened,True,3,9496,6252,3244,13.79,32.96,db97be2ad4b9c287113c8a0bf4100665889b555369bb1636613732c529a91337
44739264,screened,True,3,9482,6258,3224,13.83,28.25,5c7e4bd99aabcfc73e7fb49a3d95e17696a16849ea3230a2a6289c196d900b42
44795539,screened,True,3,9422,6261,3161,12.57,32.21,0f6f8481188e4af268b81d2e7b8e151d1faf8826aec9369f7de48931e31ce9a5
44799420,screened,True,3,9487,6274,3213,12.35,27.57,881ccfe1825a6e4a5e129525e972d02116605fc80a6883dfca3fcc6074748e68
448416124,screened,True,3,9763,3660,6103,13.97,29.07,af8f370c8971830dfb64ec6906d41b2658d876ff9838f696b866253ec9c29822
448939026,screened,True,2,6817,3426,3391,13.23,23.44,75334514053302aaa9e54132276e2f0214bbea06f94e29247187cd6855584a7e
449046160,screened,True,9,28451,11962,16489,12.11,12.86,10bd66ce7d8493598fba9ea5460a06d5976ff038644266e7e4c4b0be16c85fd7
449798870,screened,True,7,23420,10607,12813,13.83,41.56,7e669d948c257f51be7d0b671caea4c4514539fac17e0abee6b9463078ff1a2b
450348875,screened,True,3,8348,6352,1996,13.96,28.63,2b659ed0408c0d1849eb89a6cb71940f9141b42b36a93940a036f0605c805970
4510637,screened,True,5,14259,5637,8622,12.26,26.46,ab36c6b687c2ba303992d2acfb6ad25d3566ecd8006bec1c0a419e92fe2e76fa
451530352,screened,True,6,19054,6314,12740,11.57,20.47,96b66058c83e24bb02d85cd404ef45cb5b90e01e4fd9002fd6761a56e5f1f5ad
452465896,screened,True,10,31245,10273,20972,10.16,9.51,33c91e433582c00a8c5e04f8ffb269d00773b5ccd4ec76ad60172476a3e5950d
452882423,screened,True,7,20761,7276,13485,11.93,9.31,79dfa53cd098cc28284f2ef97d74df45c2991ccf4d2e71060cc866b2261d8753
454281036,screened,True,7,22460,8211,14249,11.93,27.57,fae7d8da6d5e191e3f8bf45a8245c1cdc1e566464a0a788fc36022903ec6b605
454682563,screened,True,5,14935,5160,9775,11.32,8.38,c34e3b1d077c4af6a4050eb5bae14d76eb1e68ff8cf9ed7d705a0584095e235b
454816904,screened,True,6,20256,7653,12603,12.63,30.54,7d525771fef6f0f46b4efab763dd72ea4736b9d97056a1a27981ea0fbd1284ec
454876960,screened,True,5,16336,7419,8917,12.59,24.14,ef76532034556049824cc3efbd6147c7a02a801a85b469bb605aca052075bd37
457464640,screened,True,2,6155,3863,2292,13.05,20.25,d9d0d72e57cb71ca6dd740705a9598c7098e431533695366b62aa425a9288ef5
457748137,screened,True,3,9728,3800,5928,13.88,25.69,ab5a003f1625e262c1269ca136b026830526cc63352892b1ec008b02f997a0dc
458453130,screened,True,4,10982,5845,5137,13.56,24.2,2667e5addca8977bac5a7e93f6502d2e2b6f86c7432d59f520330aaabc2218be
459181676,screened,True,6,19352,3857,15495,11.8,14.96,b01070ab9c56c2d9bc8a32c60db606f3d0176f855692716142ad15799472a00c
459192460,screened,True,6,19675,3659,16016,12.76,28.63,e91a308dee70a2f8f92f5796b6dfe57ec0d901d4016f347c27de56730ed68ed1
459211861,screened,True,6,18193,3666,14527,12.14,19.81,64c8837a5b20814b24c13636fb6e9ea88338f9d522121747d835d7568e5d9e80
459220510,screened,True,5,16744,6791,9953,13.36,36.2,2a760aa2f55a179672b8014b8bfff9f833d63db2962ad6fc33e0c39cd21c5c62
