tic,iteration,period_days,epoch_btjd,duration_days,depth,radius_earth_estimate,irradiation_earth_estimate,nominal_snr,holdout_nominal_snr,flags
102903258,3,12.607234020785032,2393.3196026947976,0.24375,0.0011590079625534307,0.9033646067644567,1.2334216382606602,5.358551860480046,3.2017156961974544,dominated_by_one_event;long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
102903258,4,12.825957491773032,2400.9197276947975,0.058499999999999996,0.0023192066310380884,1.277878559151182,1.2054566230676218,4.843042057888209,-0.6318721863931976,fewer_than_three_discovery_events;not_recovered_at_fixed_ephemeris;low_nominal_snr
103199821,1,12.813275491155117,2730.0746302169655,0.24375,0.0026050551297454334,0.9920693889180653,0.69667723484467,6.881746708950694,0.8684153431368772,dominated_by_one_event;long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
103199821,2,20.97690602184144,2728.5183802169654,0.24375,0.003080361249871203,1.0787837993255467,0.36106877101550766,5.815363414373028,-0.41746145646089666,fewer_than_three_discovery_events;long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
103199821,3,9.075634990046774,2721.2808802169657,0.24375,0.001954773915123469,0.8593733024180581,1.1034241292326306,5.785117328128975,-0.008840585261620959,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
103199821,4,10.710619366059275,2724.9933802169658,0.24375,0.0020622383811821723,0.8826794643554613,0.8847604964118446,5.9928658637163394,2.982380061246498,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
103245015,1,9.541004907721305,2776.8439753977877,0.24375,0.0036366961267184426,0.6651023289045253,0.3043412341787023,7.965576061731294,-3.5230124679895383,odd_even_discrepancy;long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris
103245015,2,4.892979853241516,2773.701850397788,0.17550000000000002,0.0029911278989883947,0.603187667214192,0.7414042189153808,7.256638203331404,1.4099412465032204,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris
103245015,3,13.137833125067678,2771.518975397788,0.24375,0.0033912218886637956,0.6422632386301543,0.1986649725039184,7.174718898087232,-1.892980519382254,odd_even_discrepancy;outside_nominal_optimistic_hz;long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris
103245015,4,3.8419634598161494,2770.806475397788,0.24375,0.00236436877480724,0.5362811958463799,1.0234861805288893,6.711844293268066,-1.8528235984382586,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
103298945,1,16.498137686610864,1992.4474092768035,0.24375,0.0026029241155062807,1.2256515594336796,0.7946539761785087,7.735243540843526,-0.10051085366920712,dominated_by_one_event;long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris
103298945,2,14.030303045639641,1993.8724092768036,0.24375,0.002208929832275597,1.1290865366153249,0.9862837784405514,6.456290656444028,-0.8569881796795004,dominated_by_one_event;long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
103298945,3,12.329346891734149,1989.4417842768034,0.17550000000000002,0.0015199215204426575,0.9365842509772847,1.1717578274487013,4.431325148969834,-1.9767725827528908,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
103581155,1,18.469552525624625,2397.4344971914197,0.17550000000000002,0.0009305680807565332,0.6362400900505744,0.4835073333864508,6.29175046709657,0.06965219220482295,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
103581155,2,8.055043063244106,2397.44237219142,0.12675,0.0006669374981313149,0.5386287404640793,1.4619114744529185,5.4404755052181955,-0.2626485800453811,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
103581155,3,10.105491141484523,2392.67912219142,0.11475000000000002,0.0007260569833135871,0.5619948146058295,1.0804425087544538,5.189621162645596,2.0083098473853984,long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
103581155,4,18.081013198240775,2396.47524719142,0.039,0.001826934080048488,0.8914734093251858,0.4974100387831639,5.040809650132588,-0.08755608832749887,fewer_than_three_discovery_events;not_recovered_at_fixed_ephemeris;low_nominal_snr
103632048,1,17.110677037231152,2403.1056461807366,0.24375,0.0009105973631707578,0.5568823924752655,0.5044570185523773,6.442324662691109,2.0942056092992085,dominated_by_one_event;long_relative_to_circular_transit;not_recovered_at_fixed_ephemeris;low_nominal_snr
103632048,2,19.797914663068408,2394.9887711807364,0.045,0.0018787083421937206,0.7998894601467763,0.41529289108990947,5.785205161831955,-1.7142298686010327,not_recovered_at_fixed_ephemeris;low_nominal_snr
103632048,3,6.4189517900605235,2395.7875211807363,0.17550000000000002,0.0005231582092453006,0.42210142142793894,1.864496657123278,4.984498191100812,-0.7959451929397704,outside_nominal_optimistic_hz;long_relative_to_circular_transit;outside_initial_small_planet_radius_range;not_recovered_at_fixed_ephemeris;low_nominal_snr
