tic,eligible_non_toi_ctoi_rank,batch_offset,batch_count
328591096,424,240,260
252748546,425,240,260
71432847,426,240,260
236391010,427,240,260
27435948,428,240,260
328254412,429,240,260
354785188,430,240,260
369869349,431,240,260
290949039,432,240,260
229404121,433,240,260
389913701,434,240,260
63052569,435,240,260
342888849,436,240,260
122669742,437,240,260
356090892,438,240,260
369819319,439,240,260
158035258,440,240,260
407457207,441,240,260
137726810,442,240,260
469952937,443,240,260
462637035,444,240,260
359414978,445,240,260
21898604,446,240,260
86339165,447,240,260
117817258,448,240,260
273515033,449,240,260
44647136,450,240,260
192847535,451,240,260
179048228,452,240,260
201251167,453,240,260
288512235,454,240,260
207148580,455,240,260
345874162,456,240,260
198080032,457,240,260
188819782,458,240,260
394816687,459,240,260
282427587,460,240,260
313386497,461,240,260
341267102,462,240,260
61587960,463,240,260
219463771,464,240,260
309781635,465,240,260
25153167,466,240,260
233463911,467,240,260
157246219,468,240,260
158319116,469,240,260
219884888,470,240,260
232048036,471,240,260
165715382,472,240,260
309434653,473,240,260
301894987,474,240,260
348772142,475,240,260
352949913,476,240,260
387070235,477,240,260
427323148,478,240,260
24090627,479,240,260
122832965,480,240,260
469952974,481,240,260
410366850,482,240,260
200784259,483,240,260
469971792,484,240,260
155894324,485,240,260
318606698,486,240,260
467254810,487,240,260
13955081,488,240,260
358015762,489,240,260
417114341,490,240,260
229565468,491,240,260
289567943,492,240,260
161614517,493,240,260
177036977,494,240,260
27322306,495,240,260
89032185,496,240,260
233049114,497,240,260
441067400,498,240,260
180696669,499,240,260
312885008,500,240,260
165599289,501,500,500
271642286,502,500,500
298160985,503,500,500
282923395,504,500,500
429759333,505,500,500
235564220,506,500,500
285903673,507,500,500
459837153,508,500,500
160222231,509,500,500
231057252,510,500,500
282052574,511,500,500
284800109,512,500,500
415707542,513,500,500
356062524,514,500,500
349645035,515,500,500
293686825,516,500,500
323429176,517,500,500
219824489,518,500,500
159183511,519,500,500
229142295,520,500,500
367359428,521,500,500
287350462,522,500,500
341845611,523,500,500
319474472,524,500,500
219244444,525,500,500
26417386,526,500,500
188694544,527,500,500
335797473,528,500,500
77178716,529,500,500
372061167,530,500,500
232521209,531,500,500
99505950,532,500,500
348795308,533,500,500
136403599,534,500,500
219855010,535,500,500
99540776,536,500,500
49190174,537,500,500
198614833,538,500,500
233070089,539,500,500
146837940,540,500,500
233176655,541,500,500
259373187,542,500,500
396740078,543,500,500
168726017,544,500,500
238030337,545,500,500
230090756,546,500,500
233170203,547,500,500
52932529,548,500,500
141821609,549,500,500
467361606,550,500,500
164644375,551,500,500
115172395,552,500,500
219037593,553,500,500
343268431,554,500,500
85536691,555,500,500
337705501,556,500,500
165528645,557,500,500
193948885,558,500,500
161554904,559,500,500
229535299,560,500,500
220423218,561,500,500
172405494,562,500,500
356241590,563,500,500
258680351,564,500,500
261333545,565,500,500
81506915,566,500,500
11914170,567,500,500
424801289,568,500,500
459192460,569,500,500
186236329,570,500,500
467178450,571,500,500
39466100,572,500,500
326209200,573,500,500
320209338,574,500,500
367357090,575,500,500
161746333,576,500,500
349683816,577,500,500
86273642,578,500,500
141676416,579,500,500
123013596,580,500,500
238041040,581,500,500
183494855,582,500,500
394244919,583,500,500
219502530,584,500,500
349306411,585,500,500
158213116,586,500,500
199574208,587,500,500
220433364,588,500,500
33880418,589,500,500
22021999,590,500,500
230050730,591,500,500
77340625,592,500,500
103199821,593,500,500
334802880,594,500,500
102678706,595,500,500
459225605,596,500,500
451530352,597,500,500
387998188,598,500,500
219872288,599,500,500
7695962,600,500,500
264992033,601,500,500
141209440,602,500,500
372595278,603,500,500
256771035,604,500,500
288404936,605,500,500
467302128,606,500,500
418289392,607,500,500
295017824,608,500,500
13385270,609,500,500
288634843,610,500,500
240403586,611,500,500
200805651,612,500,500
396741152,613,500,500
297823453,614,500,500
229455419,615,500,500
354287347,616,500,500
468874504,617,500,500
28694153,618,500,500
142086812,619,500,500
389839182,620,500,500
420801158,621,500,500
303911833,622,500,500
259701898,623,500,500
313975570,624,500,500
162462099,625,500,500
357831022,626,500,500
293164461,627,500,500
343722317,628,500,500
306357678,629,500,500
286126698,630,500,500
418223113,631,500,500
369707376,632,500,500
294093302,633,500,500
167460835,634,500,500
269105266,635,500,500
379084450,636,500,500
142319503,637,500,500
141433914,638,500,500
382581300,639,500,500
28286950,640,500,500
233738219,641,500,500
136995130,642,500,500
142963210,643,500,500
287149955,644,500,500
19913469,645,500,500
272232401,646,500,500
167042097,647,500,500
256516370,648,500,500
328799321,649,500,500
63126862,650,500,500
137499354,651,500,500
230060668,652,500,500
454816904,653,500,500
159505118,654,500,500
219733024,655,500,500
322391844,656,500,500
149988104,657,500,500
236320474,658,500,500
28260969,659,500,500
361113777,660,500,500
327188003,661,500,500
344097064,662,500,500
207398617,663,500,500
139693738,664,500,500
219369255,665,500,500
41317489,666,500,500
123096698,667,500,500
74185907,668,500,500
334483267,669,500,500
417919247,670,500,500
132767357,671,500,500
459220510,672,500,500
147671245,673,500,500
237199341,674,500,500
138649216,675,500,500
359158317,676,500,500
201794109,677,500,500
368923404,678,500,500
237915132,679,500,500
150342546,680,500,500
272279254,681,500,500
44799420,682,500,500
444415612,683,500,500
373675061,684,500,500
316417885,685,500,500
188777430,686,500,500
441740483,687,500,500
